manuscript_item,metric,context,displayed_value,full_precision_value
Figure 3,Delta_N_400_800,paired 400000 to 800000 updates,"-0.00389 [-0.00690, -0.00092]",-0.003891408179961156
Figure 3,Delta_B_200_400,paired 200000 to 400000 updates,graphical/supplemental value; full precision supplied,0.015374002101886552
Figure 3,Delta_B_400_800,paired 400000 to 800000 updates,graphical/supplemental value; full precision supplied,0.0027411059875608323
Figure 3,Delta_K_200_400,paired 200000 to 400000 updates,graphical/supplemental value; full precision supplied,-0.0005039579463517649
Figure 3,Delta_K_400_800,paired 400000 to 800000 updates,graphical/supplemental value; full precision supplied,-0.0003512583869616421
Figure 3,N0_ABS_reduction_percent,200000 to 800000 updates,22.1%,22.118280350793572
Figure 3,N0_ABS_benchmark_multiple,800000 updates divided by epsilon0,3.81,3.8118945511110454
Figure 4,E_WITHIN,A,graphical/supplemental value; full precision supplied,2.651547497677414e-05
Figure 4,E_PAIR,A,graphical/supplemental value; full precision supplied,0.0005224646534125021
Figure 4,E_SHARED,A,graphical/supplemental value; full precision supplied,0.0004959491784357262
Figure 4,F_WITHIN,A,graphical/supplemental value; full precision supplied,0.050750753765995624
Figure 4,K,A,graphical/supplemental value; full precision supplied,0.0010427076230034129
Figure 4,N0_ABS,A,graphical/supplemental value; full precision supplied,0.03611433999082786
Figure 4,BETA_POS,A,graphical/supplemental value; full precision supplied,0.9894179930224787
Figure 4,E_WITHIN,C,graphical/supplemental value; full precision supplied,6.873303903797649e-06
Figure 4,E_PAIR,C,graphical/supplemental value; full precision supplied,8.346858620502111e-05
Figure 4,E_SHARED,C,graphical/supplemental value; full precision supplied,7.65952823012235e-05
Figure 4,F_WITHIN,C,graphical/supplemental value; full precision supplied,0.08234599645566035
Figure 4,K,C,graphical/supplemental value; full precision supplied,9.678121826936936e-05
Figure 4,N0_ABS,C,graphical/supplemental value; full precision supplied,0.016440353987199383
Figure 4,BETA_POS,C,graphical/supplemental value; full precision supplied,0.9972437674938085
Figure 4,E_WITHIN,D,graphical/supplemental value; full precision supplied,1.0508880675499715e-06
Figure 4,E_PAIR,D,graphical/supplemental value; full precision supplied,0.000436249096795217
Figure 4,E_SHARED,D,graphical/supplemental value; full precision supplied,0.00043519820872766566
Figure 4,F_WITHIN,D,graphical/supplemental value; full precision supplied,0.002408917463142111
Figure 4,K,D,graphical/supplemental value; full precision supplied,0.0011238644677594096
Figure 4,N0_ABS,D,graphical/supplemental value; full precision supplied,0.005945446618861908
Figure 4,BETA_POS,D,1.068,1.0681216021980329
Figure 4,E_WITHIN,E,1.40e-7,1.402862866229818e-07
Figure 4,E_PAIR,E,graphical/supplemental value; full precision supplied,9.718286198778359e-05
Figure 4,E_SHARED,E,graphical/supplemental value; full precision supplied,9.704257570116072e-05
Figure 4,F_WITHIN,E,graphical/supplemental value; full precision supplied,0.0014435290724471206
Figure 4,K,E,graphical/supplemental value; full precision supplied,0.0002258366618430631
Figure 4,N0_ABS,E,graphical/supplemental value; full precision supplied,0.002268019441790579
Figure 4,BETA_POS,E,1.035,1.0350833417741478
Figure 4,E_WITHIN,D-A,graphical/supplemental value; full precision supplied,-2.5464586909224168e-05
Figure 4,K,D-A,graphical/supplemental value; full precision supplied,8.115684475599669e-05
Figure 4,E_WITHIN,E-C,"-6.733e-6 [-7.568e-6, -5.946e-6]",-6.733017617174667e-06
Figure 4,K,E-C,"1.291e-4 [1.148e-4, 1.453e-4]",0.00012905544357369377
Table 1,E_WITHIN_COMP,Z D-A,"-0.74 [-2.09, 0.48] x 1e-6",-7.36185754060277e-07
Table 1,E_WITHIN_COMP,Z C-A,"-15.57 [-17.70, -13.58] x 1e-6",-1.5570422039304083e-05
Table 1,E_WITHIN_COMP,P D-A,"-0.57 [-1.98, 0.65] x 1e-6",-5.672834754784761e-07
Table 1,E_WITHIN_COMP,P C-A,"-16.29 [-18.60, -14.08] x 1e-6",-1.6290843208366535e-05
Table 2,R_APPROX,n=10,"0.0394 [0.0373, 0.0416]",0.03942338039700633
Table 2,E_PAIR,n=10,Supplement: full precision in artifact,0.039395488527366136
Table 2,E_SHARED,n=10,Supplement: full precision in artifact,0.03794512358097015
Table 2,E_WITHIN,n=10,Supplement: full precision in artifact,0.0014503649463960073
Table 2,F_WITHIN,n=10,"3.68% [3.38%, 4.02%]",0.036815508592779836
Table 2,ABS_DELTA,n=10,Supplement: full precision in artifact,0.05464698555806535
Table 2,RMS_DELTA,n=10,"0.0762 [0.0735, 0.0790]",0.07616731441756384
Table 2,task_MSE,n=10,9.79,9.786291542342559
Table 2,minimum_norm_task_MSE,n=10,9.74,9.742655999543267
Table 2,mean_posterior_variance,n=10,10.03,10.025268503905156
